,Date,views,likes,dislikes,comment_count,s&p_Open,s&p_High,s&p_Low,s&p_Close,s&p_Adj Close,s&p_Volume,dow_Open,dow_High,dow_Low,dow_Close,dow_Adj Close,dow_Volume,etc_Open,etc_High,etc_Low,etc_Close,etc_Adj Close,etc_Volume,btc_Open,btc_High,btc_Low,btc_Close,btc_Adj Close,btc_Volume
109,2018-03-05,274185701,11657984,322770,1672765,2681.060059,2728.090088,2675.75,2720.939941,2720.939941,3710810000.0,24471.310547,24961.0,24387.150391,24874.759766,24874.759766,383910000.0,864.919983,868.7999880000001,849.2800289999999,849.419983,849.419983,127303467,11503.94043,11694.150391,11431.549805,11440.730469,11440.730469,791471905
110,2018-03-06,263472101,11367703,340535,1668143,2730.179932,2732.080078,2711.26001,2728.1201170000004,2728.1201170000004,3370690000.0,24965.890625,24995.240234,24708.410156,24884.119141,24884.119141,331770000.0,849.570007,851.0399779999999,803.650024,815.6900019999999,815.6900019999999,195875620,11440.330078,11441.650391,10589.280273,10735.450195,10735.450195,1210081181
111,2018-03-07,264561519,10457769,340359,1360719,2710.179932,2730.600098,2701.73999,2726.800049,2726.800049,3393270000.0,24758.150391,24849.679688,24535.119141,24801.359375,24801.359375,394070000.0,815.650024,825.320007,726.380005,751.130005,751.130005,354361800,10735.450195,10913.700195,9470.730469,9928.55957,9928.55957,1858869115
112,2018-03-08,250911518,9686829,329733,1104490,2732.75,2740.449951,2722.649902,2738.969971,2738.969971,3212320000.0,24853.410156,24950.490234,24703.050781,24895.210938,24895.210938,327300000.0,751.130005,772.51001,688.840027,698.830017,698.830017,289838564,9928.55957,10119.209961,9086.849609,9316.719727,9316.719727,1492236089
113,2018-03-09,262123805,10090114,351291,1147010,2752.909912,2786.570068,2751.540039,2786.570068,2786.570068,3364100000.0,25004.890625,25336.330078,25004.890625,25335.740234,25335.740234,371570000.0,698.830017,730.460022,642.0599980000001,726.919983,726.919983,409323870,9316.769531,9433.379883,8393.450195,9252.759766,9252.759766,2081621422
114,2018-03-10,276855930,10426105,356882,1173935,,,,,,,,,,,,,726.76001,747.820007,678.650024,682.299988,682.299988,203802606,9252.759766,9518.620117,8727.429688,8797.269531,8797.269531,1084925795
115,2018-03-11,293109494,10884076,380100,1258059,,,,,,,,,,,,,682.299988,735.01001,663.580017,720.3599849999999,720.3599849999999,206098889,8797.269531,9735.639648,8484.320313,9544.839844,9544.839844,1374814644
116,2018-03-12,310744714,11179745,410033,1235884,2790.540039,2796.97998,2779.26001,2783.02002,2783.02002,3185020000.0,25372.439453,25449.150391,25152.019531,25178.609375,25178.609375,362580000.0,720.369995,739.869995,678.130005,697.02002,697.02002,208107856,9543.980469,9907.410156,8796.519531,9142.150391,9142.150391,1435404200
117,2018-03-13,343076259,12484008,474361,1366267,2792.310059,2801.899902,2758.679932,2765.310059,2765.310059,3301650000.0,25257.75,25376.400391,24947.5,25007.029297,25007.029297,447880000.0,697.0,714.1900019999999,679.1900019999999,689.960022,689.960022,194913670,9142.269531,9486.120117,8856.650391,9160.120117,9160.120117,1228556284
118,2018-03-14,371009402,12995503,510475,1410522,2774.060059,2777.110107,2744.3798829999996,2749.47998,2749.47998,3391360000.0,25086.970703,25130.119141,24668.830078,24758.119141,24758.119141,356830000.0,689.960022,703.380005,586.700012,613.150024,613.150024,325415119,9160.120117,9360.660156,7966.939941,8217.700195,8217.700195,1385572511
